entity_id,name_cn,active_ingredient,type,dosage,safety_interval_days,target_pests,toxicity_level
KG-PES-001,粉锈宁,Triadimefon,化学农药,25%可湿性粉剂1000-1500倍液喷雾,21,枣树锈病;白粉病,低毒
KG-PES-002,甲基硫菌灵,Thiophanate-methyl,化学农药,70%可湿性粉剂800-1000倍液喷雾,14,炭疽病;褐斑病;叶黑斑病;灰斑病,低毒
KG-PES-003,多菌灵,Carbendazim,化学农药,50%可湿性粉剂600-800倍液喷雾,15,炭疽病;果腐病;褐斑病;灰斑病;干腐病,低毒
KG-PES-004,代森锰锌,Mancozeb,化学农药,80%可湿性粉剂600-800倍液喷雾,10,锈病;褐斑病;叶黑斑病;炭疽病;灰斑病;白粉病,低毒
KG-PES-005,烯唑醇,Diniconazole,化学农药,12.5%可湿性粉剂2000-3000倍液喷雾,21,锈病;白粉病;炭疽病,低毒
KG-PES-006,溴氰菊酯,Deltamethrin,化学农药,2.5%乳油2000-3000倍液喷雾,7,枣芽象甲;枣尺蠖;枣镰翅小卷蛾;枣粘虫;枣飞象;枣实蝇,中毒
KG-PES-007,吡虫啉,Imidacloprid,化学农药,10%可湿性粉剂2000-3000倍液喷雾,14,绿盲蝽;枣瘿蚊;枣瘿螨;蚜虫类;介壳虫类,低毒
KG-PES-008,阿维菌素,Abamectin,化学农药,1.8%乳油2000-3000倍液喷雾,14,枣红蜘蛛;枣瘿螨;枣瘿蚊;枣尺蠖;枣镰翅小卷蛾;枣粘虫,低毒
KG-PES-009,哒螨灵,Clofentezine,化学农药,20%可湿性粉剂2000-3000倍液喷雾,14,枣红蜘蛛;枣瘿螨,低毒
KG-PES-010,石硫合剂,Lime sulfur,化学农药,3-5波美度(休眠期);0.3-0.5波美度(生长期),7,枣龟蜡蚧;枣介壳虫;枣大球蚧;枣红蜘蛛;白粉病;锈病,低毒
KG-PES-011,Bt制剂,Bacillus thuringiensis,生物制剂,8000IU/mg可湿性粉剂500-800倍液喷雾,3,枣尺蠖;枣镰翅小卷蛾;枣粘虫;桃小食心虫;枣豹蠹蛾,低毒
KG-PES-012,枯草芽孢杆菌,Bacillus subtilis,生物制剂,10亿CFU/g可湿性粉剂500-800倍液喷雾,3,炭疽病;果腐病;叶黑斑病;干腐病,低毒
KG-PES-013,苦参碱,Matrine,生物制剂,0.3%水剂400-600倍液喷雾,7,枣芽象甲;绿盲蝽;枣红蜘蛛;尺蠖;蚜虫类,低毒
KG-PES-014,印楝素,Azadirachtin,生物制剂,0.3%乳油800-1000倍液喷雾,7,枣镰翅小卷蛾;尺蠖;枣粘虫;枣实蝇;枣瘿蚊,低毒
KG-PES-015,球孢白僵菌,Beauveria bassiana,生物制剂,100亿孢子/g可湿性粉剂1000-1500倍液喷雾,3,枣天牛;枣豹蠹蛾;枣芽象甲;桃小食心虫;尺蠖幼虫,低毒
