entity_id,name,description,affected_parts,visual_features,growth_stage_occurrence
KG-SYM-001,叶片斑点,叶片表面出现各种颜色和形态的坏死或变色斑点，由真菌或细菌侵染引起,叶片,圆形或不规则形病斑;颜色从褐色黑色到灰白色不等;病斑边缘清晰或有黄色晕圈;严重时多个病斑融合成片,展叶期;花期;幼果期;膨大期;成熟期
KG-SYM-002,叶片黄化,叶片叶绿素含量下降导致叶片颜色由绿变黄影响光合作用,叶片,新叶或老叶均匀变黄;叶脉保持绿色呈现网状花纹;严重时全叶黄白色;叶片变薄质地柔软,萌芽期;展叶期;花期;幼果期;膨大期
KG-SYM-003,叶片卷曲,叶片边缘或整体向内侧或外侧卷曲变形影响正常生理功能,叶片,叶片边缘向上或向下卷曲;叶片呈筒状或杯状;卷曲部位变脆变硬;严重时叶片扭曲变形不能展开,展叶期;花期
KG-SYM-004,果实腐烂,果实组织受到病原菌侵染后发生坏死软化和分解失去食用价值,果实,果实表面出现水渍状或褐色坏死斑;病部组织软化分解;腐烂处产生霉层;病果有异味;最终干缩或脱落,幼果期;膨大期;成熟期
KG-SYM-005,果实皱缩,果实发育过程中因病害或生理原因导致果皮和果肉组织萎缩果实变小干瘪,果实,果实明显小于正常果;果皮皱缩不光滑;果肉变薄质地变硬;病果色泽异常呈红褐色;受害果易脱落,幼果期;膨大期;成熟期
KG-SYM-006,枝条腐烂,枝干皮层组织受到病原菌侵染发生坏死腐烂影响输导功能导致枝枯,枝干,枝干皮层变色呈红褐色或暗褐色;病部组织松软腐烂;皮层易与木质部分离;病健交界处开裂;后期病部干缩凹陷,全生育期
KG-SYM-007,根部腐烂,根部皮层和木质部受到土传病原菌侵染发生腐烂坏死导致根系吸收功能丧失,根系,须根和侧根皮层腐烂;木质部腐朽变色;病根表面有白色菌丝层或菌索;病根易断裂;地上部表现缺水萎蔫症状,全生育期
KG-SYM-008,丛枝疯长,枝条节间极度缩短不定芽大量萌发形成密集细弱的丛生枝条呈扫帚状,枝干;芽,主枝或侧枝上大量不定芽萌发;新枝纤细节间短;枝叶密集丛生成扫帚状;叶片变小黄化;花器退化为叶状,萌芽期;展叶期;花期
KG-SYM-009,白色霉层,植物表面出现白色粉状或棉絮状的病原菌菌丝体和孢子层,叶片;枝干;果实,表面覆盖白色或灰白色粉状霉层;霉层可擦去留下褪绿斑;严重时霉层覆盖整个器官表面;受害组织皱缩变形,展叶期;花期;幼果期;膨大期
KG-SYM-010,黑色煤污,叶片和果实表面覆盖黑色煤烟状霉层由刺吸式害虫排泄物诱发腐生真菌生长所致,叶片;果实;枝干,表面覆盖黑色或深褐色粉状霉层;霉层可用手擦去;霉层下组织无明显病斑;严重时影响光合作用和果实外观,展叶期;幼果期;膨大期;成熟期
KG-SYM-011,锈色孢子堆,叶片背面产生黄褐色至深褐色的粉末状病原菌夏孢子堆突破表皮外露,叶片,叶片背面出现黄褐色小疱状突起;疱状突起破裂散出铁锈色粉末;叶片正面对应处出现褪绿黄斑;严重时叶片布满孢子堆导致早落,展叶期;幼果期;膨大期
KG-SYM-012,叶片穿孔,叶片组织局部坏死脱落后形成穿孔影响叶片完整性和光合功能,叶片,叶片上先出现褐色小斑;病斑组织干枯脱落形成圆形或不规则穿孔;穿孔边缘褐色或黄褐色;严重时叶片残破不全,展叶期;花期;幼果期
KG-SYM-013,蛀孔虫粪,害虫在果实或枝干上钻蛀取食形成的孔洞和排泄物,果实;枝干,果实表面有圆形蛀入孔;蛀孔周围有虫粪排出;枝干上蛀孔有新鲜木屑;蛀孔内可见幼虫或蛹;被害部位组织坏死,幼果期;膨大期;成熟期;全生育期
KG-SYM-014,蜡壳附着,枝干和叶片上附着各种介壳虫的蜡质介壳影响树体正常生长,枝干;叶片,器官表面附着圆形椭圆形或半球形蜡壳;蜡壳白色灰色或褐色;蜡壳密集排列;蜡壳下虫体刺吸汁液;附近有排泄物蜜露,全生育期
KG-SYM-015,叶片缀连,幼虫吐丝将2-3片叶缀连在一起形成虫苞在内隐藏取食,叶片;嫩梢,相邻叶片被丝缀连成苞;虫苞内有幼虫和虫粪;苞内叶肉被食仅留上表皮或下表皮;苞内叶片枯焦变褐,展叶期;花期
KG-SYM-016,羽化孔,天牛等蛀干害虫成虫羽化后在枝干上留下的圆形或椭圆形孔洞,枝干,枝干上有圆形或椭圆形孔洞;孔径与害虫种类相关;孔口边缘整齐;孔洞下方有木屑;孔洞附近皮层坏死,休眠期;萌芽期;展叶期
KG-SYM-017,虫瘿,植物组织受害虫刺激后异常增生形成的囊状或泡状赘生物,叶片;嫩芽,叶片出现小泡状囊状或袋状突起;虫瘿内有微小幼虫;虫瘿颜色从绿色渐变为红色或紫褐色;虫瘿密集着生导致叶片卷曲,展叶期;花期
KG-SYM-018,叶片缺刻,害虫咀嚼取食在叶片边缘造成的弧形或锯齿形缺口,叶片,叶片边缘出现弧形半圆形或条状缺刻;缺刻边缘整齐或粗糙;严重时叶片被食仅剩叶脉;缺刻面积和形状与害虫种类和龄期相关,萌芽期;展叶期;花期;幼果期
KG-SYM-019,落果,果实未达到生理成熟即从树上脱落影响产量,果实,果实提前着色或变红后脱落;落果有虫蛀痕迹或病斑;落果大小小于正常果;落果数量多地面可见大量落果;落果时间与害虫发生或病害流行吻合,幼果期;膨大期;成熟期
KG-SYM-020,花器畸形,花器结构异常导致不能正常授粉受精和结实影响坐果率,花,花瓣变小或缺失;花器退化为叶状结构;雌蕊或雄蕊退化;花朵不能正常开放;花梗伸长或缩短,花期
